PROJECT_ID,PROJECT_NAME,PROJECT_NAME_SHORT,COUNTRY,REGION,Project Period START_DT,Project Period END_DT,Agreement_Start_Date,Agreement_End_Date,PROPOSAL STATUS,DONOR RECEIVING PROPOSAL,DATE SUBMITTED TO DONOR,STATUS (PMD Pro),STAFFING_LEVEL,TARGET_Direct_BENEF_LOP,Actual_Direct_Beneficiaries_LOP,SECTOR_PRIMARY,SECTOR_SECONDARY,Project_Implementation,Expr2,Date_Proposal_Accepted_or_Rejected,Target_Indirect_Beneficiaries_LOP,Target_Direct_Beneficiaries_FY13,Actual_Direct_Beneficiaries_FY13,TOTAL LOP BUDGET,FUNDING_SOURCE 1,Funding Source 1 Amount,FUNDING_SOURCE 2,Funding Source 2 Amount,FUNDING SOURCE 3,Funding Source 3 Amount,FUNDING_SOURCE_NOTES,QPR REQUIRED?,PROJ_DESCR_UPDATED,Notes
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,
65139595,Resilience in the Americas (Peru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,
160,Social Mobilization (Namibia),Soc Mob (Namibia),NAMIBIA,Africa,01-May-12,31-Aug-12,29-Jun-12,30-Dec-12,Submitted-accepted,ARC - SIF,08-Jun-12,Closed,Field Visits,"148,350.00",,Measles,,HNS,,29-Jun-12,,,,"$92,741.00",ARC (SIF),"$92,741.00",,,,,Grant letter funded,FALSE,TRUE,
162,Social Mobilization (Kenya),Soc Mob (Kenya),KENYA,Africa,31-Aug-12,31-Oct-12,11-Sep-12,31-Jan-13,Submitted-accepted,ARCT and ARC SIF,14-Aug-12,Closed,Intl Staff Presence,"6,658,778.00",,Measles,,HNS,,11-Sep-12,,,,"$380,207.00",ARCT,"$266,145.00",ARC (SIF),"$114,062.00",,,"70% ARCT, 30% SIF",FALSE,TRUE,
163,Social Mobilization (Cameroon),Soc Mob (Cameroon),CAMEROON,Africa,01-May-12,31-Jul-12,11-Jun-12,31-Oct-12,Submitted-accepted,ARC-SIF,11-Jun-12,Closed,Field Visits,"2,012,777.00",,Measles,,HNS,,,,,,"$29,223.90",ARC (SIF),"$29,223.90",,,,,PMN,FALSE,TRUE,
164,Social Mobilization (Burundi),Soc Mob (Burundi),BURUNDI,Africa,01-May-12,31-Jul-12,08-Jun-12,30-Nov-12,Submitted-accepted,,23-Feb-12,Closed,Field Visits,"153,354.00",,Measles,,HNS,,08-Jun-12,,,,"$154,546.00",ARC (SIF),"$154,546.00",,,,,Grant letter funded,FALSE,FALSE,
16,"HIV Prevention, Care and Support",HIV - China,CHINA,Asia,01-May-10,31-Dec-12,,,,,,Closed,Intl Staff Presence,"127,792.00",,Community Health - HIV,,HNS,,,,,,"$549,364.00",ARC (Restricted Funding),"$549,364.00",,,,,,TRUE,FALSE,
20,Regional Humanitarian Action for Refugee and Displaced Populations of the Colombia Conflict and their Host Communities,Refugee/IDP Care - Colombia/Panama,COLOMBIA,LAC,01-Sep-11,30-Sep-12,,,Submitted-accepted,ARC/SIF,01-Jun-11,Closed,Intl Staff Presence,"10,000.00",,DM - Response,Refugee Care,,,,,,,"$246,750.00",ARC (SIF),"$246,750.00",,,,,,FALSE,FALSE,
21,Latin America Risk Reduction Activities,DP - LARRA,COSTA RICA,LAC,10-Sep-10,15-Nov-12,,,,,,Closed,Field Visits,"38,116.00",,DM - Preparedness/DRR,,,,,,,,"$4,700,000.00",ARC (SIF),"$3,200,000.00",Other Private External,"$1,500,000.00",,,"1,500,000 in funding provided by Merck.",FALSE,FALSE,
27,Latin America Risk Reduction Activities,DP - LARRA,EL SALVADOR,LAC,09-Sep-09,01-Sep-12,,,,,,Closed,Field Visits,"58,785.00",,DM - Preparedness/DRR,,,,,,,,"$4,700,000.00",ARC (SIF),"$3,200,000.00",Other Private External,"$1,500,000.00",,,"1,500,000 funding provided from Merck.",TRUE,FALSE,
57,Kenya Integrated HIV/AIDS,KY IHIV,KENYA,Africa,01-Jan-09,30-Sep-12,23-Jan-09,31-Dec-12,Submitted-accepted,,,Closed,Intl Staff Presence,"16,387.00",,Community Health - HIV,,HNS,,23-Jan-09,39756,,,"$2,048,975.00",ARC (SIF),"$2,048,975.00",,,,,,TRUE,TRUE,"indirect 39,756"
76,Regional Humanitarian Action for Refugee and Displaced Populations of the Colombia Conflict and their Host Communities,Refugee/IDP Care - Colombia/Panama,PANAMA,LAC,01-Sep-11,30-Nov-12,,,,,,Closed,Intl Staff Presence,"10,000.00",,DM - Response,Refugee Care,,,,,,,"$532,146.00",US State Dept (BPRM),"$450,000.00",ARC (SIF),"$82,146.00",,,,TRUE,FALSE,
153,Social Mobilization for Measles Campaign 2012,Soc Mob (India),INDIA,Asia,01-Apr-12,31-Dec-12,,,Submitted-accepted,ARC,13-Apr-12,Closeout,Field Visits,"134,000,000.00",,Measles,,Other,,,,,,"$515,341.00",ARC (Restricted Funding),"$515,341.00",,,,,100% ARC (SIF & TRP),FALSE,FALSE,This project is implemented through HNS and IFRC.
157,Pakistan Measles Campaigns,Pakistan Measles,PAKISTAN,Asia,01-Jul-12,31-Dec-12,,,,,,Closeout,Field Visits,"10,578,470.00",,Measles,,External Partner (non Movement),,,,,,"$763,000.00",ARC,"$763,000.00",,,,,,FALSE,FALSE,
4,Caribbean HIV/AIDS Project,CHAP I,BAHAMAS,LAC,06-Aug-10,30-Aug-12,01-Jul-10,30-Jun-12,Submitted-accepted,ARC (SIF),06-Aug-10,Closeout,Intl Staff Presence,"9,240.00",,Community Health - HIV,,,,,,,,"$289,395.00",ARC (SIF),"$289,395.00",,,,,,TRUE,FALSE,Still some financial reconciliation pending-ISF conducting trips to NS during this quarter
33,Caribbean HIV/AIDS Project,CHAP I,GUYANA,LAC,06-Aug-10,30-Aug-12,,,Submitted-accepted,ARC (SIF),06-Aug-12,Closeout,NS Only,"3,690.00",,Community Health - HIV,,,,,,,,"$423,602.00",ARC (SIF),"$423,602.00",,,,,,TRUE,FALSE,Still some financial reconciliation pending-ISF conducting trips to NS during this quarter
51,Caribbean HIV/AIDS Project,CHAP I,JAMAICA,LAC,06-Aug-10,30-Aug-12,,,Submitted-accepted,ARC (SIF),06-Aug-10,Closeout,NS Only,"8,980.00",,Community Health - HIV,,HNS,,,,,,"$422,170.00",ARC (SIF),"$422,170.00",,,,,,FALSE,FALSE,Still some financial reconciliation pending-ISF conducting trips to NS during this quarter
112,Latin America Risk Reduction Activities II,DP - LARRA II,feature.properties.mapColor,LAC,13-Sep-11,12-Dec-13,13-Sep-11,12-Sep-13,Submitted-accepted,OFDA,30-Jun-11,Closeout,Field Visits,"6,000.00",,DM - Preparedness/DRR,,HNS,,13-Sep-11,30000,3000,296,"$345,660.00",USAID/OFDA,"$345,660.00",,,,,,TRUE,TRUE,Activites have been suspended as of November 2012 due to financial irregularities. ARC is closing out project.
171,Social Mobilization (Rwanda),Soc Mob (Rwanda),RWANDA,Africa,01-Feb-13,01-Apr-13,06-Feb-13,01-Jul-13,Submitted-accepted,,28-Jan-13,Closeout,Field Visits,"748,487.00",,Measles,,HNS,,06-Feb-13,,748487,,"$109,706.00",ARCT,"$109,706.00",,,,,,FALSE,TRUE,
140,Resilience in the Americas (RITA) -Nicaragua,IPA- RITA Nicaragua,NICARAGUA,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,Field Visits,200.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,1000,200,,"$100,516.00",ARC (SIF),"$100,516.00",,,,,,FALSE,TRUE,
141,Resilience in the Americas (RITA) - Costa Rica,IPA- RITA Costa Rica,COSTA RICA,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,Field Visits,400.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,51000,400,,"$110,794.00",ARC (SIF),"$110,794.00",,,,,,TRUE,TRUE,
142,Resilience in the Americas (RITA) - El Salvador,IPA- RITA El Salvador,EL SALVADOR,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,Field Visits,400.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,51000,400,,"$107,338.00",ARC (SIF),"$107,338.00",,,,,,TRUE,TRUE,
143,Resilience in the Americas (RITA) - Panama,IPA- RITA Panama,PANAMA,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,Intl Staff Presence,400.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,37000,400,,"$108,164.00",ARC (SIF),"$108,164.00",,,,,,TRUE,FALSE,
144,Resilience in the Americas (RITA)- Colombia,IPA -RITA Colombia,COLOMBIA,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,ARC Staff (host country national),450.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,2250,450,2250,"$143,582.00",ARC (SIF),"$143,582.00",,,,,,TRUE,TRUE,
145,Resilience in the Americas (RITA) - Ecuador,IPA-RITA Ecuador,ECUADOR,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,Field Visits,450.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,2250,450,2250,"$137,856.00",ARC (SIF),"$137,856.00",,,,,,TRUE,TRUE,
147,Resilience in the Americas (RITA) - Bahamas,IPA- RITA Bahamas,BAHAMAS,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,American Red Cross - SIF,05-Jun-12,Implementation,Field Visits,360.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,15000,360,,"$119,350.00",ARC (SIF),"$119,350.00",,,,,,TRUE,TRUE,
148,Resilience in the Americas (RITA) - Guyana,IPA- RITA Guyana,GUYANA,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,ARC (SIF),05-Jun-12,Implementation,Field Visits,440.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,2700,440,,"$97,450.00",ARC (SIF),"$97,450.00",,,,,,TRUE,TRUE,
113,Saving Lives in the Caribbean Through Preparedness,DP - Caribbean Phase III,BAHAMAS,LAC,25-Sep-11,24-Nov-13,25-Aug-11,24-Aug-13,Submitted-accepted,USAID/OFDA,22-Apr-11,Implementation,Field Visits,"8,507.00",,DM - Preparedness/DRR,Capacity Building,HNS,,05-Jul-11,0,,,"$357,365.00",USAID/OFDA,"$357,365.00",,,,,,TRUE,TRUE,No indirect beneficiaries. Struggling with calculating benificiaries..no number as of yet.
151,Disaster Preparedness for Safer Schools in Bangladesh,DPSS,BANGLADESH,Asia,01-Aug-12,31-Jan-14,01-Aug-12,31-Jan-14,Submitted-accepted,ARC,10-May-12,Implementation,Field Visits,"20,000.00",,DM - Preparedness/DRR,,HNS,,,60000,,,"$467,053.00",ARC (Restricted Funding),"$467,053.00",,,,,ARC (TRP) funded,TRUE,TRUE,
7,Program for Enhancement of Emergency Response,PEER,BANGLADESH,Asia,01-Apr-09,31-Mar-14,,,Submitted-accepted,,28-Aug-08,Implementation,Field Visits,"1,000.00",,DM - Preparedness/DRR,,,,,,,,"$1,068,260.00",ARC,"$1,068,260.00",,,,,Total LOP budget is reflective of total combined figures for all nine PEER countries.,TRUE,TRUE,
127,Enhancement of the Cyclone Preparedness Programme (Phase II),ECPP II,BANGLADESH,Asia,01-May-12,30-Apr-13,01-May-12,01-Apr-13,Submitted-accepted,,03-Apr-12,Implementation,Field Visits,"5,536.00",,DM - Preparedness/DRR,,Other,,,7110000,,,"$1,709,224.00",ARC (Restricted Funding),"$1,709,224.00",,,,,ARC (TRP) funded,TRUE,TRUE,This project is implemented through the HNS and IFRC.
158,Resilience in the Americas (RITA) - Belize,IPA- RITA Belize,BELIZE,LAC,01-Jul-12,30-Aug-13,01-Jul-12,30-Jun-13,Submitted-accepted,ARC (SIF),05-Jun-12,Implementation,Field Visits,240.00,,Integrated,DM - Preparedness/DRR,HNS,,14-Jun-12,78000,240,,"$96,850.00",ARC (SIF),"$96,850.00",,,,,,TRUE,TRUE,
159,Resilience in the Americas (RITA) - Peru,IPA -RITA Peru,PERU,LAC,01-Dec-12,30-Aug-13,01-Dec-12,30-Jun-13,Submitted-accepted,ARC/SIF,30-Jan-13,Implementation,Intl Staff Presence,150.00,,Integrated,DM - Preparedness/DRR,HNS,,01-Mar-13,750,150,750,"$94,225.00",ARC (SIF),"$94,225.00",,,,,,TRUE,TRUE,This project has a later start date because the PA was not considered until dropping the project in Paraguay.
114,Saving Lives in the Caribbean Through Preparedness,DP - Caribbean Phase III,BELIZE,LAC,25-Sep-11,24-Nov-13,25-Aug-11,24-Aug-13,Submitted-accepted,USAID/OFDA,22-Apr-11,Implementation,Field Visits,"55,200.00",,DM - Preparedness/DRR,,HNS,,05-Jul-11,0,,,"$345,226.00",USAID/OFDA,"$207,136.00",ARC (SIF),"$138,090.00",,,40% ARC and 60% USAID/OFDA,TRUE,TRUE,No indirect beneficiaries. Struggling with calculating benificiaries..no number as of yet.
3,Regional Health Initiative (Armenia),HIV - Armenia,ARMENIA,EMECA,01-Jul-12,30-Jun-13,01-Jul-12,30-Jun-13,Submitted-accepted,ARCT,,Implementation,Field Visits,"12,320.00",,Community Health - HIV,,HNS,,,,12320,,"$550,100.00",ARCT,"$550,100.00",,,,,100% ARCT,TRUE,TRUE,
8,Regional Health Initiative (Belarus),HIV - Belarus,BELARUS,EMECA,01-Feb-11,30-Jun-13,01-Jul-11,30-Jun-13,,,,Implementation,Field Visits,"5,320.00",,Community Health - HIV,,,,,,,,"$1,600,000.00",ARCT,"$1,600,000.00",,,,,100% ARCT,TRUE,TRUE,
14,Program for Enhancement of Emergency Response,PEER,CAMBODIA,Asia,01-Apr-09,31-Mar-14,,,Submitted-accepted,,28-Aug-08,Implementation,Field Visits,500.00,,DM - Preparedness/DRR,,,,,,,,"$1,068,260.00",ARC,"$1,068,260.00",,,,,Total LOP budget is reflective of total combined figures for all nine PEER countries.,TRUE,TRUE,
123,Chile Earthquake Recovery Project,Chile EQ Recovery,CHILE,LAC,11-Jan-11,31-May-14,11-Jan-11,31-Mar-14,Submitted-accepted,ARC,15-Jun-11,Implementation,Intl Staff Presence,"10,000.00",,DM - Recovery,DM - Preparedness/DRR,HNS,,30-Jun-11,50000,4000,3000,"$1,650,837.00",ARC (Restricted Funding),"$1,650,837.00",,,,,Restricted Funding- Chile Relief & Development,TRUE,TRUE,
110,Latin America Risk Reduction Activities II,DP - LARRA II,COLOMBIA,LAC,13-Sep-11,12-Dec-13,13-Sep-11,12-Sep-13,Submitted-accepted,OFDA,30-Jun-11,Implementation,Intl Staff Presence,"20,000.00",,DM - Preparedness/DRR,,HNS,,13-Sep-11,100000,8000,10739,"$414,832.00",ARC (SIF),"$414,832.00",,,,,,TRUE,TRUE,"Vulnerable communities throughout Latin America are frequently exposed to natural disasters. Since early 2011, the American Red Cross has been helping community members and Red Cross partners prepare for future disasters through community-based education programs that teach people how to provide basic first aid, and support the installation of early warning systems such as public address (PA) or Very High Frequency (VHF) radio systems. The program is also providing training to Red Cross staff and volunteers on disaster preparedness best practices like keeping a basic emergency kit in the home and actions that individuals should take in the event of an earthquake. Through this regional program, the American Red Cross is working with local Red Cross partners to improve disaster preparedness in Colombia, Costa Rica, Ecuador, El Salvador, Panama and Paraguay. In total, this project aims to reach more than 176,300 people across all six countries."
117,Latin America Risk Reduction Activities II,DP - LARRA II,COSTA RICA,LAC,01-Dec-11,28-Feb-14,01-Dec-11,30-Nov-13,Submitted-accepted,SIF,01-Oct-11,Implementation,Field Visits,"38,116.00",,DM - Preparedness/DRR,Water & Sanitation,HNS,,15-Oct-11,,,,"$421,184.00",ARCT,"$421,184.00",,,,,,TRUE,TRUE,pilot watsan component active
111,Latin America Risk Reduction Activities II,DP - LARRA II,ECUADOR,LAC,13-Sep-11,12-Dec-13,13-Sep-11,12-Sep-13,Submitted-accepted,OFDA,30-Jun-11,Implementation,Field Visits,"12,000.00",,DM - Preparedness/DRR,,HNS,,13-Sep-11,60000,6000,2388,"$325,612.00",USAID/OFDA,"$325,612.00",,,,,,TRUE,TRUE,
28,Improving Community Health in Hurricane Mitch Affected Communities- CDC Water & Sanitation Project,Wat/San Follow Up Model,EL SALVADOR,LAC,01-Jun-12,30-Sep-13,01-Jun-12,30-Jun-13,Submitted-accepted,,17-Apr-12,Implementation,Field Visits,"4,345.00",,DM - Recovery,Water & Sanitation,HNS,,27-Apr-12,,4345,,"$152,824.00",ARC (SIF),"$152,824.00",US Centers for Disease Control,"$149,850.00",,,CDC pays contractor's salary; ARC pays project costs.,TRUE,FALSE,"Total for all beneficiaries for Guatemala, El Salvador, Honduras and Nicaragua on the proposal is 19,765 (slight discrepancy from adding up country totals). This project has been ongoing (renewed each year) since 1999. Do not have an exact start date."
46,West Sumatra Organizational Development Project,West Sumatra OD/DM,INDONESIA,Asia,01-Oct-10,31-Dec-13,,,,,,Implementation,Intl Staff Presence,"11,842.00",,OD,DM - Recovery,HNS,,,,,,"$800,875.00",ARC (SIF),"$800,875.00",,,,,ARC (SIF) funded,TRUE,TRUE,
118,Latin America Risk Reduction Activities II,DP - LARRA II,EL SALVADOR,LAC,01-Dec-11,28-Feb-14,01-Dec-11,30-Nov-13,Submitted-accepted,SIF,01-Oct-11,Implementation,Field Visits,"58,785.00",,DM - Preparedness/DRR,Water & Sanitation,HNS,,15-Oct-11,,,,"$373,598.00",ARC (SIF),"$373,598.00",,,,,,TRUE,TRUE,
48,Strengthening the Indonesian Red Cross  Organizational Development Project,Aceh II - OD,INDONESIA,Asia,01-Nov-10,30-Jun-14,,,,,,Implementation,Intl Staff Presence,"4,312.00",,OD,,HNS,,,,,,"$499,822.00",ARC (Restricted Funding),"$499,822.00",,,,,ARC (TRP) funded,TRUE,TRUE,
30,Improving Community Health in Hurricane Mitch Affected Communities- CDC Water & Sanitation Project,Wat/San Follow Up Model,GUATEMALA,LAC,01-Jun-12,30-Sep-13,01-Jun-12,30-Jun-13,Submitted-accepted,,17-Apr-12,Implementation,Field Visits,"2,565.00",,DM - Recovery,Water & Sanitation,HNS,,27-Apr-12,,2565,,"$152,824.00",ARC (SIF),"$152,824.00",US Centers for Disease Control,"$149,850.00",,,CDC pays contractor's salary; ARC pays project costs.,TRUE,FALSE,"Total for all beneficiaries for Guatemala, El Salvador, Honduras and Nicaragua on the proposal is 19,765 (slight discrepancy from adding up country totals). This project has been ongoing (renewed each year) since 1999. Do not have an exact start date."
39,Improving Community Health in Hurricane Mitch Affected Communities- CDC Water & Sanitation Project,Wat/San Follow Up Model,HONDURAS,LAC,01-Jun-12,30-Sep-13,01-Jun-12,30-Jun-13,,,17-Apr-12,Implementation,Field Visits,"12,385.00",,DM - Recovery,Water & Sanitation,HNS,,27-Apr-12,,12385,,"$152,824.00",ARC (SIF),"$152,824.00",US Centers for Disease Control,"$149,850.00",,,CDC pays contractor's salary; ARC pays project costs,TRUE,FALSE,"Total for all beneficiaries for Guatemala, El Salvador, Honduras and Nicaragua on the proposal is 19,765 (slight discrepancy from adding up country totals). This project has been ongoing (renewed each year) since 1999. Do not have an exact start date."
54,Regional Health Initiative (Kazakhstan),HIV - Russia/Central Asia,KAZAKHSTAN,EMECA,01-Jul-10,30-Jun-13,,,,,,Implementation,Intl Staff Presence,"40,000.00",,Community Health - HIV,,,,,,,,"$1,600,000.00",ARCT,"$1,600,000.00",,,,,100% ARCT,TRUE,TRUE,.
152,Gujarat Disaster Risk Reduction,Gujarat DRR,INDIA,Asia,01-May-12,30-Apr-13,,,Submitted-accepted,,03-Mar-12,Implementation,Field Visits,"1,250.00",,DM - Preparedness/DRR,,HNS,,,2500,,,"$59,132.00",ARC,"$59,132.00",,,,,,FALSE,TRUE,
43,Program for Enhancement of Emergency Response,PEER,INDIA,Asia,01-Apr-09,31-Mar-14,,,Submitted-accepted,,28-Aug-08,Implementation,Field Visits,500.00,,DM - Preparedness/DRR,,,,,,,,"$1,068,260.00",ARC,"$1,068,260.00",,,,,Total LOP budget is reflective of total combined figures for all nine PEER countries.,TRUE,TRUE,
154,Coastal Disaster Risk Reduction,Coastal DRR,INDONESIA,Asia,01-Oct-12,30-Sep-14,01-Oct-12,30-Sep-14,,,,Implementation,Intl Staff Presence,"90,456.00",,DM - Preparedness/DRR,,HNS,,,1839191,,,"$1,974,942.00",ARC (Restricted Funding),"$727,033.00",USAID/OFDA,"$1,000,000.00",,,"50% ARC (TRP funded), 50% OFDA funded",TRUE,TRUE,
